model,accuracy,precision,recall,f1
Logistic Regression,0.9862615322904131,0.9861694677871149,0.9898084695132665,0.9879856178198719
XGBoost,0.9828519855595668,0.9775086505190311,0.9927956422421367,0.9850928428210269
DNN,0.990072202166065,0.9906984906984907,0.9919170620277631,0.991307401879006
